YEAR,MOVIE,GENRE,MPAA RATING,DISTRIBUTOR,TOTAL FOR YEAR,TOTAL IN 2019 DOLLARS,TICKETS SOLD
1995,Batman Forever,Drama,PG-13,Warner Bros.,"18,40,31,112","38,75,22,978",42306002
1996,Independence Day,Adventure,PG-13,20th Century Fox,"30,61,69,255","63,45,04,608",69269062
1997,Men in Black,Adventure,PG-13,Sony Pictures,"25,06,50,052","50,02,07,943",54607854
1998,Titanic,Adventure,PG-13,Paramount Pictures,"44,33,19,081","86,58,42,808",94524324
1999,Star Wars Ep. I: The Phantom Menace,Adventure,PG,20th Century Fox,"43,04,43,350","77,61,53,749",84732942
2000,How the Grinch Stole Christmas,Adventure,PG,Universal,"25,33,67,455","43,05,83,644",47006948
2001,Harry Potter and the Sorcerer? Stone,Adventure,PG,Warner Bros.,"30,04,04,434","48,61,66,890",53074988
2002,Spider-Man,Adventure,PG-13,Sony Pictures,"40,37,06,375","63,64,80,273",69484746
2003,Finding Nemo,Adventure,G,Walt Disney,"33,97,14,367","51,60,50,346",56337374
2004,Shrek 2,Adventure,PG,Dreamworks SKG,"44,12,26,247","65,08,26,473",71050925
2005,Star Wars Ep. III: Revenge of the Sith,Action,PG-13,20th Century Fox,"38,02,70,577","54,34,13,171",59324582
2006,Pirates of the Caribbean: Dead Man? Chest,Action,PG-13,Walt Disney,"42,33,15,812","59,19,95,851",64628368
2007,Spider-Man 3,Adventure,PG-13,Sony Pictures,"33,65,30,303","44,80,54,878",48914288
2008,The Dark Knight,Adventure,PG-13,Warner Bros.,"53,10,01,578","67,74,33,772",73955652
2009,Transformers: Revenge of the Fallen,Action,PG-13,Paramount Pictures,"40,21,11,870","49,11,12,631",53614916
2010,Toy Story 3,Action,G,Walt Disney,"41,50,04,880","48,18,05,411",52598844
2011,Harry Potter and the Deathly Hallows: Part II,Action,PG-13,Warner Bros.,"38,10,11,219","44,01,08,798",48046812
2012,The Avengers,Adventure,PG-13,Walt Disney,"62,33,57,910","71,73,31,462",78311295
2013,Iron Man 3,Adventure,PG-13,Walt Disney,"40,89,92,272","46,08,08,016",50306552
2014,Guardians of the Galaxy,Adventure,PG-13,Walt Disney,"33,30,55,258","37,34,13,235",40765637
2015,Star Wars Ep. VII: The Force Awakens,Action,PG-13,Walt Disney,"74,22,08,942","80,64,80,887",88043765
2016,Finding Dory,Action,PG,Walt Disney,"48,62,95,561","51,49,67,322",56219140
2017,Star Wars Ep. VIII: The Last Jedi,Action,PG-13,Walt Disney,"51,72,18,368","52,81,73,936",57660910
2018,Black Panther,Action,PG-13,Walt Disney,"70,00,59,566","70,39,01,821",76845177
2019,Avengers: Endgame,,PG-13,Walt Disney,"85,83,73,000","85,83,73,002",93708843
2020,Bad Boys For Life,,R,Sony Pictures,"20,44,17,855","20,44,17,848",22316359
2021,Shang-Chi and the Legend of the Ten Rings,,PG-13,Walt Disney,"22,42,26,704","22,42,26,704",24478897
